# litman journal full-name -> ISO4 abbreviation table.
# Source: JabRef abbrv.jabref.org (CC0 1.0). Merged: ACS + life-science
# lists, de-duplicated by normalized full name (ACS precedence).
# Columns: "Full journal name","ISO4 abbreviation". Loader skips # lines.
"AACN Clinical Issues","AACN Clin. Issues"
"Arbeiten aus dem Paul-Ehrlich-Institut, dem Georg-Speyer-Haus und dem Ferdinand-Blum-Institut zu Frankfurt a. M.","Arb. Paul Ehrlich Inst. Georg Speyer Haus Ferdinand Blum Inst. Frankf. a. M."
"Archaea","Archaea"
"Architectural Record","Archit. Rec."
"Architecture","Architecture"
"Archiv der Julius Klaus-Stiftung fur Vererbungsforschung, Sozialanthropologie und Rassenhygiene","Arch. Julius Klaus Stift. Vererbungsforsch. Sozialanthropol. Rassenhyg."
"Archiv der Pharmazie","Arch. Pharm. (Weinheim)"
"Archiv der Pharmazie (Weinheim, Germany)","Arch. Pharm. (Weinheim, Ger.)"
"Archiv der Pharmazie und Berichte der Deutschen Pharmazeutischen Gesellschaft","Arch. Pharm. Ber. Dtsch. Pharm. Ges."
"Archiv für Dermatologische Forschung","Arch. Dermatol. Forsch."
"Archiv für die Gesamte Psychologie","Arch. Gesamte Psychol."
"Archiv für die Gesamte Virusforschung","Arch. Gesamte Virusforsch."
"Archiv für Experimentelle Veterinarmedizin","Arch. Exp. Veterinarmed."
"Archiv für Genetik","Arch. Genet. (Zur.)"
"Archiv für Geschwulstforschung","Arch. Geschwulstforsch."
"Archiv für Gynakologie","Arch. Gynakol."
"Archiv für Hygiene und Bakteriologie","Arch. Hyg. Bakteriol."
"Archiv für Kinderheilkunde","Arch. Kinderheilkd."
"Archiv für Klinische Medizin","Arch. Klin. Med."
"Archiv für Klinische und Experimentelle Dermatologie","Arch. Klin. Exp. Dermatol."
"Archiv für Klinische und Experimentelle Ohren-, Nasen- und Kehlkopfheilkunde","Arch. Klin. Exp. Ohren. Nasen. Kehlkopfheilkd."
"Archiv für Kreislaufforschung","Arch. Kreislaufforsch."
"Archiv für Kriminologie","Arch. Kriminol."
"Archiv für Mikrobiologie","Arch. Mikrobiol."
"Archiv für Ohren-, Nasen- und Kehlkopfheilkunde","Arch. Ohren Nasen Kehlkopfheilkd."
"Archiv für Orthopadische und Unfall-Chirurgie","Arch. Orthop. Unfallchir."
"Archiv für Physikalische Therapie","Arch. Phys. Ther. (Leipz.)"
"Archiv für Psychiatrie und Nervenkrankheiten","Arch. Psychiatr. Nervenkr."
"Archiv für Psychologie","Arch. Psychol. (Frankf.)"
"Archiv für Tierernahrung","Arch. Tierernahr."
"Archiv für Toxikologie","Arch. Toxikol."
"Archives Belges","Arch. Belg."
"Archives Belges de Dermatologie","Arch. Belg. Dermatol."
"Archives Belges de Dermatologie et de Syphiligraphie","Arch. Belg. Dermatol. Syphiligr."
"Archives Belges de Medecine Sociale, Hygiene, Medecine du Travail et Medecine Legale","Arch. Belg. Med. Soc."
"Archives d'Anatomie et de Cytologie Pathologiques","Arch. Anat. Cytol. Pathol."
"Archives d'Anatomie Microscopique et de Morphologie Experimentale","Arch. Anat. Microsc. Morphol. Exp."
"Archives d'Anatomie Pathologique","Arch. Anat. Pathol. (Paris)"
"Archives d'Anatomie, d'Histologie et d'Embryologie","Arch. Anat. Histol. Embryol."
"Archives d'Ophtalmologie","Arch. Ophtalmol. (Paris)"
"Archives d'Ophtalmologie et Revue Generale d'Ophtalmologie","Arch. Ophtalmol. Rev. Gen. Ophtalmol."
"Archives de Biologie","Arch. Biol. (Liege)"
"Archives de l'Institut Pasteur d Algerie","Arch. Inst. Pasteur Alger."
"Archives de l'Institut Pasteur de Madagascar","Arch. Inst. Pasteur Madagascar"
"Archives de l'Institut Pasteur de Tunis","Arch. Inst. Pasteur Tunis"
"Archives de Medecine Generale et Tropicale","Arch. Med. Gen. Trop."
"Archives de Pediatrie","Arch. Pediatr."
"Archives des Maladies de l'Appareil Digestif et des Maladies de la Nutrition","Arch. Mal. Appar. Dig. Mal. Nutr."
"Archives des Maladies du Coeur et des Vaisseaux","Arch. Mal. Coeur Vaiss."
"Archives des Maladies Professionnelles de Medecine du Travail et de Securite Sociale","Arch. Mal. Prof."
"Archives des Sciences Physiologiques","Arch. Sci. Physiol. (Paris)"
"Archives for Dermatological Research (Archiv fur Dermatologische Forschung)","Arch. Dermatol. Res."
"Archives Francaises de Pediatrie","Arch. Fr. Pediatr."
"Archives Francaises des Maladies de l'Appareil Digestif","Arch. Fr. Mal. App. Dig."
"Archives Internationales de Pharmacodynamie et de Therapie","Arch. Int. Pharmacodyn. Ther."
"Archives Internationales de Physiologie et de Biochimie","Arch. Int. Physiol. Biochim."
"Archives Internationales de Physiologie, de Biochimie et de Biophysique","Arch. Int. Physiol. Biochim. Biophys."
"Archives Italiennes de Biologie","Arch. Ital. Biol."
"Archives Mediterraneennes de Medecine","Arch. Mediterr. Med."
"Archives of Andrology","Arch. Androl."
"Archives of Animal Nutrition","Arch. Anim. Nutr."
"Archives of Biochemistry and Biophysics","Arch. Biochem. Biophys."
"Archives of Dermatological Research","Arch. Dermatol. Res."
"Archives of Dermatology","Arch. Dermatol."
"Archives of Disease in Childhood","Arch. Dis. Child."
"Archives of Disease in Childhood. Fetal and Neonatal Edition","Arch. Dis. Child. Fetal Neonatal Ed."
"Archives of Emergency Medicine","Arch. Emerg. Med."
"Archives of Environmental and Occupational Health","Arch. Environ. Occup. Health"
"Archives of Environmental Contamination and Toxicology","Arch. Environ. Contam. Toxicol."
"Archives of Environmental Health","Arch. Environ. Health"
"Archives of Facial Plastic Surgery","Arch. Facial Plast. Surg."
"Archives of Family Medicine","Arch. Fam. Med."
"Archives of General Psychiatry","Arch. Gen. Psychiatry"
"Archives of Gerontology and Geriatrics","Arch. Gerontol. Geriatr."
"Archives of Gerontology and Geriatrics. Supplement","Arch. Gerontol. Geriatr. Suppl."
"Archives of Gynecology","Arch. Gynecol."
"Archives of Gynecology and Obstetrics","Arch. Gynecol. Obstet."
"Archives of Histology and Cytology","Arch. Histol. Cytol."
"Archives of Insect Biochemistry and Physiology","Arch. Insect Biochem. Physiol."
"Archives of Interamerican Rheumatology","Arch. Interam. Rheumatol."
"Archives of Internal Medicine","Arch. Intern. Med."
"Archives of Medical Research","Arch. Med. Res."
"Archives of Microbiology","Arch. Microbiol."
"Archives of Neurology","Arch. Neurol."
"Archives of Ophthalmology","Arch. Ophthalmol."
"Archives of Oral Biology","Arch. Oral Biol."
"Archives of Orthopaedic and Trauma Surgery","Arch. Orthop. Trauma Surg."
"Archives of Orthopaedic and Traumatic Surgery","Arch. Orthop. Trauma. Surg."
"Archives of Oto-Rhino-Laryngology","Arch. Otorhinolaryngol."
"Archives of Oto-Rhino-Laryngology. Supplement","Arch. Otorhinolaryngol. Suppl."
"Archives of Otolaryngology","Arch. Otolaryngol."
"Archives of Otolaryngology -- Head and Neck Surgery","Arch. Otolaryngol. Head Neck Surg."
"Archives of Pathology","Arch. Pathol."
"Archives of Pathology and Laboratory Medicine","Arch. Pathol. Lab. Med."
"Archives of Pediatrics and Adolescent Medicine","Arch. Pediatr. Adolesc. Med."
"Archives of Pharmacal Research","Arch. Pharmacal Res."
"Archives of Physical Medicine and Rehabilitation","Arch. Phys. Med. Rehabil."
"Archives of Physiology and Biochemistry","Arch. Physiol. Biochem."
"Archives of Psychiatric Nursing","Arch. Psychiatr. Nurs."
"Archives of Sexual Behavior","Arch. Sex. Behav."
"Archives of Surgery","Arch. Surg."
"Archives of Toxicology","Arch. Toxicol."
"Archives of Toxicology. Supplement","Arch. Toxicol. Suppl."
"Archives of Virology","Arch. Virol."
"Archives of Virology. Supplementum","Arch. Virol. Suppl."
"Archives Roumaines de Pathologie Experimentale et de Microbiologie","Arch. Roum. Pathol. Exp. Microbiol."
"Archivii Italiani di Laringologia","Arch. Ital. Laringol."
"Archivio ""E. Maragliano"" di Patologia e Clinica","Arch. Maragliano Patol. Clin."
"Archivio de Vecchi per l'Anatomia Patologica e la Medicina Clinica","Arch. de Vecchi Anat. Patol."
"Archivio di Chirurgia Toracica e Cardiovascolare","Arch. Chir. Torac. Cardiovasc."
"Archivio di Fisiologia","Arch. Fisiol."
"Archivio di Medicina Interna","Arch. Med. Interna"
"Archivio di Ortopedia","Arch. Ortop."
"Archivio di Ostetricia e Ginecologia","Arch. Ostet. Ginecol."
"Archivio di Patologia e Clinica Medica","Arch. Patol. Clin. Med."
"Archivio di Psicologia, Neurologia e Psichiatria","Arch. Psicol. Neurol. Psichiatr."
"Archivio di Scienze Biologiche","Arch. Sci. Biol. (Bologna)"
"Archivio di Tisiologia e delle Malattie dell Apparato Respiratorio","Arch. Tisiol. Mal. Appar. Respir."
"Archivio Italiano delle Malattie dell Apparato Digerente","Arch. Ital. Mal. Appar. Dig."
"Archivio Italiano di Anatomia e di Embriologia","Arch. Ital. Anat. Embriol."
"Archivio Italiano di Anatomia e Istologia Patologica","Arch. Ital. Anat. Istol. Patol."
"Archivio Italiano di Chirurgia","Arch. Ital. Chir."
"Archivio Italiano di Dermatologia, Venereologia e Sessuologia","Arch. Ital. Dermatol. Venereol. Sessuol."
"Archivio Italiano di Otologia, Rinologia e Laringologia","Arch. Ital. Otol. Rinol. Laringol."
"Archivio Italiano di Otologia, Rinologia e Laringologia. Supplemento","Arch. Ital. Otol. Rinol. Laringol. Suppl."
"Archivio Italiano di Otologia, Rinologia, Laringologia e Patologia Cervico-Facciale","Arch. Ital. Otol. Rinol. Laringol. Patol. Cervicofacc."
"Archivio Italiano di Otologia, Rinologia, Laringologia e Patologia Cervico-Facciale. Supplemento","Arch. Ital. Otol. Rinol. Laringol. Patol. Cervicofacc. Suppl."
"Archivio Italiano di Patologia e Clinica dei Tumori","Arch. Ital. Patol. Clin. Tumori"
"Archivio Italiano di Pediatria e Puericoltura","Arch. Ital. Pediatr. Pueric."
"Archivio Italiano di Scienze Farmacologiche","Arch. Ital. Sci. Farmacol."
"Archivio Italiano di Scienze Mediche Tropicali e di Parassitologia","Arch. Ital. Sci. Med. Trop. Parassitol."
"Archivio Italiano di Urologia","Arch. Ital. Urol."
"Archivio Italiano di Urologia e Nefrologia","Arch. Ital. Urol. Nefrol."
"Archivio Italiano di Urologia, Andrologia","Arch. Ital. Urol. Androl."
"Archivio Italiano di Urologia, Nefrologia, Andrologia","Arch. Ital. Urol. Nefrol. Androl."
"Archivio Monaldi per la Tisiologia e le Malattie dell Apparato Respiratorio","Arch. Monaldi"
"Archivio Monaldi per le Malattie del Torace","Arch. Monaldi Mal. Torace"
"Archivio per le Scienze Mediche","Arch. Sci. Med. (Torino)"
"Archivio Putti di Chirurgia degli Organi di Movimento","Arch. Putti Chir. Organi Mov."
"Archivio Stomatologico","Arch. Stomatol. (Napoli)"
"Archivio Veterinario Italiano","Arch. Vet. Ital."
"Archivo Espanol de Morfologia","Arch. Esp. Morfol."
"Archivos Argentinos de Dermatologia","Arch. Argent. Dermatol."
"Archivos Argentinos de Pediatria","Arch. Argent. Pediatr."
"Archivos de Biologia Andina","Arch. Biol. Andina"
"Archivos de Biologia y Medicina Experimentales","Arch. Biol. Med. Exp. (Santiago)"
"Archivos de Bronconeumologia","Arch. Bronconeumol."
"Archivos de Cardiologia de Mexico","Arch. Cardiol. Mex."
"Archivos de Enfermedades del Corazon y Vasos","Arch. Enferm. Coraz. Vasos"
"Archivos de Farmacologia y Toxicologia","Arch. Farmacol. Toxicol."
"Archivos de Histologia Normal y Patologica.","Arch. Histol. Norm. Patol."
"Archivos de Investigacion Medica","Arch. Invest. Med. (Mex.)"
"Archivos de la Fundacion Roux-Ocefa","Arch. Fund. Roux. Ocefa"
"Archivos de Neurobiologia","Arch. Neurobiol. (Madr.)"
"Archivos de Odonto Estomatologia","Arch. Odonto Estomatol."
"Archivos de Oftalmologia de Buenos Aires","Arch. Oftalmol. B. Aires"
"Archivos de Pediatria del Uruguay","Arch. Pediatr. Urug."
"Archivos del Colegio Medico de El Salvador","Arch. Col. Med. El Salv."
"Archivos del Instituto de Biologia Andina","Arch. Inst. Biol. Andina"
"Archivos del Instituto de Cardiologia de Mexico","Arch. Inst. Cardiol. Mex."
"Archivos del Instituto de Farmacologia Experimental","Arch. Inst. Farmacol. Exp. (Madr.)"
"Archivos Espanoles de Urologia","Arch. Esp. Urol."
"Archivos Latinoamericanos de Nutricion","Arch. Latinoam. Nutr."
"Archivos Medicos Panamenos","Arch. Med. Panamenos"
"Archivum Chirurgicum Neerlandicum","Arch. Chir. Neerl."
"Archivum Histologicum Japonicum","Arch. Histol. Jpn."
"Archivum immunologiae et therapiae experimentalis","Arch. Immunol. Ther. Exp."
"Archivum Veterinarium Polonicum","Arch. Vet. Pol."
"Archiwum Historii i Filozofii Medycyny","Arch. Hist. Filoz. Med."
"Archiwum Historii Medycyny","Arch. Hist. Med. (Warsz.)"
"Arcispedale S. Anna di Ferrara","Arcisp. S. Anna Ferrara"
"Arctic Medical Research","Arctic Med. Res."
"Arerugi (Japanese Journal of Allergology)","Arerugi"
"Arhiv za Higijenu Rada i Toksikologiju","Arh. Hig. Rada Toksikol."
"Arizona Dental Journal","Ariz. Dent. J."
"Arizona Medicine","Ariz. Med."
"Arizona Nurse","Ariz. Nurse"
"Ark-Light Newsletter","Ark. Light Newsl."
"Arkansas Dental Journal","Ark. Dent. J."
"Arkansas Dentistry","Ark. Dent."
"Arkhiv Anatomii, Gistologii i Embriologii","Arkh. Anat. Gistol. Embriol."
"Arkhiv Patologii","Arkh. Patol."
"ARKIVOC (Gainesville, FL, United States)","ARKIVOC (Gainesville, FL, U. S.)"
"ARN Journal","ARN J."
"Arquivo de Patologia","Arq. Patol."
"Arquivo: Orgao da Sociedade Brasileira de Implantologia Bucal","Arquivo"
"Arquivos Brasileiros de Cardiologia","Arq. Bras. Cardiol."
"Arquivos Brasileiros de Endocrinologia e Metabologia","Arq. Bras. Endocrinol. Metabol."
"Arquivos Brasileiros de Medicina","Arq. Bras. Med."
"Arquivos Brasileiros de Oftalmologia","Arq. Bras. Oftalmol."
"Arquivos da Faculdade de Higiene e Saude Publica da Universidade de Sao Paulo","Arq. Fac. Hig. Saude Publica Univ. Sao Paulo"
"Arquivos de Cirurgia Clinica e Experimental","Arq. Cir. Clin. Exp."
"Arquivos de Gastroenterologia","Arq. Gastroenterol."
"Arquivos de Higiene e Saude Publica","Arq. Hig. Saude Publica"
"Arquivos de Neuro-Psiquiatria","Arq. Neuropsiquiatr."
"Arquivos do Centro de Estudos da Faculdade de Odontologia da U.F.M.G.","Arq. Cent. Estud. Fac. Odontol. UFMG. (Belo. Horiz.)"
"Arquivos do Centro de Estudos, Curso de Odontologia Universidade Federal de Minas Gerais","Arq. Cent. Estud. Curso Odontol. Univ. Fed. Minas Gerais"
"Arquivos do Instituto Biologico","Arq. Inst. Biol. (Sao Paulo)"
"Ars Curandi em Odontologia","Ars Curandi Odontol."
"Arteriosclerosis","Arteriosclerosis"
"Arteriosclerosis and Thrombosis","Arterioscler. Thromb."
"Arteriosclerosis, Thrombosis, and Vascular Biology","Arterioscler., Thromb., Vasc. Biol."
"Artery","Artery"
"Arthritis and Rheumatism","Arthritis Rheum."
"Arthritis Care and Research","Arthritis Care Res."
"Arthritis Research","Arthritis Res."
"Arthritis Research and Therapy","Arthritis Res. Ther."
"Arthroscopy","Arthroscopy"
"Articulator","Articulator (Columb.)"
"Artificial Cells, Blood Substitutes, and Immobilization Biotechnology","Artif. Cells. Blood Substit. Immobil. Biotechnol."
"Artificial Intelligence in Medicine","Artif. Intell. Med."
"Artificial Life","Artif. Life"
"Artificial Limbs","Artif. Limbs"
"Artificial Organs","Artif. Organs"
"Arukoru Kenkyu-to Yakubutsu Ison (Japanese Journal of Alcohol Studies and Drug Dependence)","Arukoru Kenkyuto Yakubutsu Ison"
"Arzneimittel-Forschung","Arzneimittelforschung."
"Arztliche Forschung","Arztl. Forsch."
"Arztliche Jugendkunde","Arztl. Jugendkd."
"ASA Newsletter","ASA Newsl."
"ASAIO Journal","ASAIO J."
"ASAIO Transactions","ASAIO Trans."
"ASDA News","ASDA News"
"ASDC Journal of Dentistry for Children","ASDC J. Dent. Child."
"Asepsis","Asepsis"
"ASHA","ASHA"
"ASHA Monographs","ASHA Monogr."
"ASHA. Supplement","ASHA. Suppl."
"Asia-Oceania Journal of Obstetrics and Gynaecology","Asia. Oceania J. Obstet. Gynaecol."
"Asia-Pacific Journal of Chemical Engineering","Asia-Pac. J. Chem. Eng."
"Asia-Pacific Journal of Public Health","Asia. Pac. J. Public Health"
"Asian Journal of Aesthetic Dentistry","Asian J. Aesthet. Dent."
"Asian Journal of Andrology","Asian J. Androl."
"Asian Journal of Chemistry","Asian J. Chem."
"Asian Journal of Infectious Diseases","Asian J. Infect. Dis."
"Asian Journal of Organic Chemistry","Asian J. Org. Chem."
"Asian Pacific Journal of Allergy and Immunology","Asian Pac. J. Allergy Immunol."
"Asian Pacific Journal of Cancer Prevention","Asian Pac. J. Cancer Prev."
"ASNA Reporter","ASNA Rep."
"Aspen Emphysema Conference","Aspen Emphysema Conf."
"Aspen's Advisor for Nurse Executives","Aspens Advis. Nurse Exec."
"Assay and Drug Development Technologies","Assay Drug Dev. Technol."
"Assertive Nurse","Assertive Nurse"
"Assessment","Assessment"
"Assistive Technology","Assist. Technol."
"Association and Society Manager","Assoc. Soc. Manager"
"Association Management","Assoc. Manage."
"Asthetische Medizin","Asthet. Med. (Berl.)"
"ASTM Standardization News","ASTM Stand. News"
"Astrobiology","Astrobiology"
"Atencion Primaria","Aten. Primaria"
"Ateneo Parmense. Acta Bio-Medica","Ateneo Parmense. Acta Biomed."
"Ateneo Parmense. Sezione I, Acta Bio-Medica","Ateneo Parmense. [1]"
"Atherosclerosis","Atherosclerosis"
"Atherosclerosis (Amsterdam, Netherlands)","Atherosclerosis (Amsterdam, Neth.)"
"Atherosclerosis. Supplements","Atheroscler. Suppl."
"Atlas de Radiologie Clinique de la Presse Medicale","Atlas Radiol. Clin. Presse Med."
"Atlas of the Oral and Maxillofacial Surgery Clinics of North America","Atlas Oral Maxillofac. Surg. Clin. North Am."
"Atmospheric Chemistry and Physics","Atmos. Chem. Phys."
"Atmospheric Environment","Atmos. Environ."
"Atomic Energy (New York, NY, United States)","At. Energy (N. Y., NY, U. S.)"
"Atomic Energy Review","At. Energy Rev."
"Atomic Spectroscopy","At. Spectrosc."
"Attachment and Human Development","Attach. Hum. Dev."
"Atti dell'Accademia dei Fisiocritici in Siena","Atti Accad. Fisiocrit. Siena"
"Atti della Accademia dei Fisiocritici in Siena. Sezione Medico-Fisica","Atti Accad. Fisiocrit. Siena. [Med. Fis.]"
"Atti della Accademia Medica Lombarda","Atti Accad. Med. Lomb."
"Atti della Societa Italiana di Cardiologia","Atti Soc. Ital. Cardiol."
"Atti e Memorie della Accademia di Storia dell'Arte Sanitaria","Atti Mem. Accad. Stor. Arte Sanit."
"Attualita Dentale","Attual. Dent."
"Attualita di Ostetricia e Ginecologia","Attual. Ostet. Ginecol."
"AUAA Journal","AUAA J."
"Audiology","Audiology"
"Audiology and Neuro-Otology","Audiol. Neurootol."
"Auris, Nasus, Larynx","Auris. Nasus. Larynx"
"Australasian Annals of Medicine","Australas. Ann. Med."
"Australasian Biotechnology","Australas. Biotechnol."
"Australasian Journal of Dermatology","Australas. J. Dermatol."
"Australasian Nurses Journal","Australas. Nurses J."
"Australasian Physical and Engineering Sciences in Medicine","Australas. Phys. Eng. Sci. Med."
"Australasian Radiology","Australas. Radiol."
"Australian and New Zealand Journal of Medicine","Aust. N. Z. J. Med."
"Australian and New Zealand Journal of Mental Health Nursing","Aust. N. Z. J. Ment. Health Nurs."
"Australian and New Zealand Journal of Obstetrics and Gynaecology","Aust. N. Z. J. Obstet. Gynaecol."
"Australian and New Zealand Journal of Obstetrics and Gynaecology. Supplement","Aust. N. Z. J. Obstet. Gynaecol. Suppl."
"Australian and New Zealand Journal of Ophthalmology","Aust. N. Z. J. Ophthalmol."
"Australian and New Zealand Journal of Psychiatry","Aust. N. Z. J. Psychiatry"
"Australian and New Zealand Journal of Public Health","Aust. N. Z. J. Public Health"
"Australian and New Zealand Journal of Surgery","Aust. N. Z. J. Surg."
"Australian Clinical Review","Aust. Clin. Rev."
"Australian Critical Care","Aust. Crit. Care"
"Australian Dental Journal","Aust. Dent. J."
"Australian Dental Practice","Aust. Dent. Pract."
"Australian Family Physician","Aust. Fam. Physician"
"Australian Health Review","Aust. Health Rev."
"Australian Hospital","Aust. Hosp."
"Australian Journal of Advanced Nursing","Aust. J. Adv. Nurs."
"Australian Journal of Biological Sciences","Aust. J. Biol. Sci."
"Australian Journal of Biotechnology","Aust. J. Biotechnol."
"Australian Journal of Chemistry","Aust. J. Chem."
"Australian Journal of Experimental Biology and Medical Science","Aust. J. Exp. Biol. Med. Sci."
"Australian Journal of Ophthalmology","Aust. J. Ophthalmol."
"Australian Journal of Public Health","Aust. J. Public Health"
"Australian Journal of Rural Health","Aust. J. Rural Health"
"Australian Journal of Science and Medicine in Sport","Aust. J. Sci. Med. Sport"
"Australian Journal of Zoology","Aust. J. Zool."
"Australian Medical Record Journal","Aust. Med. Rec. J."
"Australian Nurses' Journal","Aust. Nurses J."
"Australian Nursing Journal","Aust. Nurs. J."
"Australian Orthodontic Journal","Aust. Orthod. J."
"Australian Paediatric Journal","Aust. Paediatr. J."
"Australian Prosthodontic Journal","Aust. Prosthodont. J."
"Australian Prosthodontic Society Bulletin","Aust. Prosthodont. Soc. Bull."
"Australian Society of Prosthodontists Bulletin","Aust. Soc. Prosthodontists Bull."
"Australian Veterinary Journal","Aust. Vet. J."
"Autism","Autism"
"Autoimmunity","Autoimmunity"
"Autoimmunity Reviews","Autoimmun. Rev."
"Autonomic & Autacoid Pharmacology","Auton. Autacoid Pharmacol."
"Autonomic and Autacoid Pharmacology","Auton. Autacoid Pharmacol."
"Autonomic Neuroscience","Auton. Neurosci."
"Autophagy","Autophagy"
"Auxiliaire","Auxiliaire"
"Avances en Odontoestomatologia","Av. Odontoestomatol."
"Avances en Periodoncia","Av. Periodoncia"
"Aviakosmicheskaia i Ekologicheskaia Meditsina","Aviakosm. Ekolog. Med."
"Avian Diseases","Avian Dis."
"Aviation Space and Environmental Medicine","Aviat. Space Environ. Med."
"AWHONN Lifelines","AWHONN Lifelines"
"AWHONN Voice","AWHONN Voice"
"AWHONN's Clinical Issues in Perinatal and Women's Health Nursing","AWHONNS Clin. Issues Perinat. Womens Health Nurs."
"Axone","Axone"
"Azerbaidzhanskii Khimicheskii Zhurnal","Azerb. Khim. Zh."
"B-ENT","B-ENT"
"Bacteriologia, Virusologia, Parazitologia, Epidemiologia","Bacteriol. Virusol. Parazitol. Epidemiol."
"Bacteriological Reviews","Bacteriol. Rev."
"Baillière's Clinical Endocrinology and Metabolism","Baillieres Clin. Endocrinol. Metab."
"Baillière's Clinical Gastroenterology","Baillieres Clin. Gastroenterol."
"Baillière's Clinical Haematology","Baillieres Clin. Haematol."
"Baillière's Clinical Neurology","Baillieres Clin. Neurol."
"Baillière's Clinical Obstetrics and Gynaecology","Baillieres Clin. Obstet. Gynaecol."
"Baillière's Clinical Rheumatology","Baillieres Clin. Rheumatol."
"Balance","Balance"
"Bangladesh Medical Research Council Bulletin","Bangladesh Med. Res. Counc. Bull."
"Barbados Nursing Journal","Barbados Nurs. J."
"Barron's","Barrons"
"Basal Facts","Basal Facts"
"Basic & Clinical Pharmacology & Toxicology","Basic Clin. Pharmacol. Toxicol."
"Basic and Applied Histochemistry","Basic Appl. Histochem."
"Basic and Clinical Pharmacology and Toxicology","Basic Clin. Pharmacol. Toxicol."
"Basic Life Sciences","Basic Life Sci."
"Basic Research in Cardiology","Basic Res. Cardiol."
"Baylor Dental Journal","Baylor Dent. J."
"Baylor Nursing Educator","Baylor Nurs. Educ."
"Bedside Nurse","Bedside Nurse"
"Begg Journal of Orthodontic Theory and Treatment","Begg J. Orthod. Theory Treat."
"Beginnings","Beginnings"
"Behavior Genetics","Behav. Genet."
"Behavior Modification","Behav. Modif."
"Behavior Research Methods","Behav. Res. Methods"
"Behavioral and Brain Sciences","Behav. Brain Sci."
"Behavioral and Cognitive Neuroscience Reviews","Behav. Cogn. Neurosci. Rev."
"Behavioral and Neural Biology","Behav. Neural Biol."
"Behavioral Biology","Behav. Biol."
"Behavioral Healthcare Tomorrow","Behav. Healthc. Tomorrow"
"Behavioral Medicine","Behav. Med."
"Behavioral Neuropsychiatry","Behav. Neuropsychiatry"
"Behavioral Neuroscience","Behav. Neurosci."
"Behavioral Science","Behav. Sci."
"Behavioral Sciences and the Law","Behav. Sci. Law"
"Behavioral Sleep Medicine","Behav. Sleep. Med."
"Behaviour","Behaviour"
"Behaviour Research and Therapy","Behav. Res. Ther."
"Behavioural Brain Research","Behav. Brain Res."
"Behavioural Pharmacology","Behav. Pharmacol."
"Behring Institute Mitteilungen","Behring Inst. Mitt."
"Beijing Da Xue Xue Bao. Yi Xue Ban (Journal of Peking University. Health Sciences)","Beijing Da Xue Xue Bao"
"Beilstein Journal of Nanotechnology","Beilstein J. Nanotechnol."
"Beilstein Journal of Organic Chemistry","Beilstein J. Org. Chem."
"Beitrage zu Infusionstherapie und Klinische Ernahrung","Beitr. Infusionther. Klin. Ernahr."
"Beitrage zur Gerichtlichen Medizin","Beitr. Gerichtl. Med."
"Beitrage zur Hygiene und Epidemiologie","Beitr. Hyg. Epidemiol."
"Beitrage zur Infusionstherapie","Beitr. Infusionsther."
"Beitrage zur Infusionstherapie und Transfusionsmedizin","Beitr. Infusionsther. Transfusionsmed."
"Beitrage zur Klinik und Erforschung der Tuberkulose und der Lungenkrankheiten","Beitr. Klin. Erforsch. Tuberk. Lungenkr."
"Beitrage zur Klinischen Neurologie und Psychiatrie","Beitr. Klin. Neurol. Psychiatr."
"Beitrage zur Krebsforschung","Beitr. Krebsforsch."
"Beitrage zur Neurochirurgie","Beitr. Neurochir."
"Beitrage zur Orthopadie und Traumatologie","Beitr. Orthop. Traumatol."
"Beitrage zur Pathologie","Beitr. Pathol."
"Beitrage zur Pathologischen Anatomie und zur Allgemeinen Pathologie","Beitr. Pathol. Anat."
"Beitrage zur Rheumatologie","Beitr. Rheumatol."
"Beitrage zur Sexualforschung","Beitr. Sexualforsch."
"Beitrage zur Silikose-Forschung","Beitr. Silikoseforsch."
"Beitrage zur Silikose-Forschung. Pneumokoniose","Beitr. Silikoseforsch. Pneumokoniose"
"Beitrage zur Tropischen Landwirtschaft und Veterinarmedizin","Beitr. Trop. Landwirtsch. Veterinarmed."
"Belgisch Tijdschrift voor Geneeskunde","Belg. Tijdschr. Geneesk."
"Bender's Health Care Law Monthly","Benders Health Care Law Mon."
"Benefits Quarterly","Benefits Q."
"Bericht uber die Zusammenkunft der Deutschen Ophthalmologischen Gesellschaft","Ber. Zusammenkunft Dtsch. Ophthalmol. Ges."
"Berichte aus der Bonner Universitatsklinik und Poliklinik fur Mund-, Zahn- und Kieferkrankheiten","Ber. Bonn. Univ. Poliklin. Mund. Zahn. Kieferkr."
"Berita Jururawat","Berita Jururawat"
"Berliner und Munchener Tierarztliche Wochenschrift","Berl. Munch. Tierarztl. Wochenschr."
"Berufs-Dermatosen","Berufsdermatosen."
"Best Practice & Research: Clinical Anaesthesiology","Best Pract. Res. Clin. Anaesthesiol."
"Best Practice & Research: Clinical Endocrinology and Metabolism","Best Pract. Res. Clin. Endocrinol. Metab."
"Best Practice & Research: Clinical Gastroenterology","Best Pract. Res. Clin. Gastroenterol."
"Best Practice & Research: Clinical Haematology","Best Pract. Res. Clin. Haematol."
"Best Practice & Research: Clinical Obstetrics and Gynaecology","Best Pract. Res. Clin. Obstet. Gynaecol."
"Best Practice & Research: Clinical Rheumatology","Best Pract. Res. Clin. Rheumatol."
